Text,Entities
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
2023 Michael.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 12}]"
Google Paris.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 12}]"
"John Paris March 15, 2021.","[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 10}, {'entity': 'DATE', 'start': 11, 'end': 25}]"
2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
2023 Google OpenAI.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 18}]"
2023 OpenAI.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}]"
Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
David New York.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 14}]"
Emma Boston OpenAI.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 18}]"
Google Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}]"
Tesla January 2023 London.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 18}, {'entity': 'LOC', 'start': 19, 'end': 25}]"
John.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
"Boston March 15, 2021 San Francisco.","[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 21}, {'entity': 'LOC', 'start': 22, 'end': 35}]"
Amazon David.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}]"
Boston New York.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 15}]"
"March 15, 2021 Amazon.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'ORG', 'start': 15, 'end': 21}]"
Google Michael David.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 14}, {'entity': 'PERSON', 'start': 15, 'end': 20}]"
Alice.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
2023 Michael.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 12}]"
New York Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'LOC', 'start': 9, 'end': 14}]"
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
Alice 2023 London.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}, {'entity': 'LOC', 'start': 11, 'end': 17}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
San Francisco Sara Sara.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'PERSON', 'start': 14, 'end': 18}, {'entity': 'PERSON', 'start': 19, 'end': 23}]"
Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
2023 John San Francisco.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 23}]"
Boston 2022 Amazon.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 18}]"
San Francisco Google Tesla.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'ORG', 'start': 14, 'end': 20}, {'entity': 'ORG', 'start': 21, 'end': 26}]"
2024 Emma Tesla.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}, {'entity': 'ORG', 'start': 10, 'end': 15}]"
Amazon John.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}]"
January 2023 Tesla David.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'ORG', 'start': 13, 'end': 18}, {'entity': 'PERSON', 'start': 19, 'end': 24}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
San Francisco John.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'PERSON', 'start': 14, 'end': 18}]"
Emma 2023.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
2024 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
OpenAI London.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 13}]"
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
London 2022.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
Amazon Google Paris.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 19}]"
Tesla London.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 12}]"
Google Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 12}]"
Alice 2024.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}]"
OpenAI Alice 2022.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}, {'entity': 'DATE', 'start': 13, 'end': 17}]"
Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}]"
January 2023 Alice.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'PERSON', 'start': 13, 'end': 18}]"
David Google.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 12}]"
2022 Microsoft OpenAI.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 14}, {'entity': 'ORG', 'start': 15, 'end': 21}]"
Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
New York Tesla Amazon.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'ORG', 'start': 9, 'end': 14}, {'entity': 'ORG', 'start': 15, 'end': 21}]"
Tesla London.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 12}]"
2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
OpenAI London Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 13}, {'entity': 'ORG', 'start': 14, 'end': 23}]"
Emma 2023.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
January 2023 Emma January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'PERSON', 'start': 13, 'end': 17}, {'entity': 'DATE', 'start': 18, 'end': 30}]"
Sara Microsoft Amazon.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 14}, {'entity': 'ORG', 'start': 15, 'end': 21}]"
John New York.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 13}]"
Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}]"
2022 2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
"March 15, 2021 2022 March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'DATE', 'start': 15, 'end': 19}, {'entity': 'DATE', 'start': 20, 'end': 34}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
Amazon David Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}, {'entity': 'ORG', 'start': 13, 'end': 19}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
New York Amazon OpenAI.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'ORG', 'start': 9, 'end': 15}, {'entity': 'ORG', 'start': 16, 'end': 22}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
New York Emma 2022.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'PERSON', 'start': 9, 'end': 13}, {'entity': 'DATE', 'start': 14, 'end': 18}]"
John.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Michael 2023 John.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'DATE', 'start': 8, 'end': 12}, {'entity': 'PERSON', 'start': 13, 'end': 17}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
"New York March 15, 2021.","[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'DATE', 'start': 9, 'end': 23}]"
Michael Emma Amazon.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'PERSON', 'start': 8, 'end': 12}, {'entity': 'ORG', 'start': 13, 'end': 19}]"
San Francisco 2024.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'DATE', 'start': 14, 'end': 18}]"
"March 15, 2021 2024.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'DATE', 'start': 15, 'end': 19}]"
London John London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 18}]"
2024 San Francisco.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 18}]"
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
2023 Michael Boston.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 12}, {'entity': 'LOC', 'start': 13, 'end': 19}]"
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
Google Alice.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}]"
2023 January 2023 Emma.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 17}, {'entity': 'PERSON', 'start': 18, 'end': 22}]"
OpenAI Emma Sara.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'PERSON', 'start': 12, 'end': 16}]"
2023 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
Google 2024.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
"Microsoft March 15, 2021 Sara.","[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'DATE', 'start': 10, 'end': 24}, {'entity': 'PERSON', 'start': 25, 'end': 29}]"
"John March 15, 2021 Sara.","[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 19}, {'entity': 'PERSON', 'start': 20, 'end': 24}]"
2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
2024 2023 2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}, {'entity': 'DATE', 'start': 10, 'end': 14}]"
Microsoft Sara.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'PERSON', 'start': 10, 'end': 14}]"
Sara John.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}]"
OpenAI New York Boston.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 15}, {'entity': 'LOC', 'start': 16, 'end': 22}]"
January 2023 Boston.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'LOC', 'start': 13, 'end': 19}]"
Amazon 2024.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}]"
Tesla Paris Michael.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 11}, {'entity': 'PERSON', 'start': 12, 'end': 19}]"
Boston 2023 Microsoft.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 21}]"
Tesla Boston.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 12}]"
2022 2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
Amazon 2022.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}]"
Boston San Francisco OpenAI.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 20}, {'entity': 'ORG', 'start': 21, 'end': 27}]"
2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
"OpenAI Emma March 15, 2021.","[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'DATE', 'start': 12, 'end': 26}]"
Google David.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}]"
John.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
London Tesla.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 12}]"
Emma 2024.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
2024 David Alice.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 10}, {'entity': 'PERSON', 'start': 11, 'end': 16}]"
Google Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}]"
Paris Google.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 12}]"
London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
Michael.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}]"
Microsoft London Paris.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 16}, {'entity': 'LOC', 'start': 17, 'end': 22}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
John 2024 London.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 16}]"
Amazon Emma Michael.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'PERSON', 'start': 12, 'end': 19}]"
Alice San Francisco.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 19}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
January 2023 2023 Boston.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'DATE', 'start': 13, 'end': 17}, {'entity': 'LOC', 'start': 18, 'end': 24}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Emma January 2023.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 17}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
London 2022.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}]"
"January 2023 March 15, 2021 March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'DATE', 'start': 13, 'end': 27}, {'entity': 'DATE', 'start': 28, 'end': 42}]"
Michael January 2023 Amazon.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'DATE', 'start': 8, 'end': 20}, {'entity': 'ORG', 'start': 21, 'end': 27}]"
Amazon Sara.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
San Francisco San Francisco Google.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 27}, {'entity': 'ORG', 'start': 28, 'end': 34}]"
Alice January 2023 Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 18}, {'entity': 'PERSON', 'start': 19, 'end': 23}]"
2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
Michael.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}]"
OpenAI Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}]"
Google Google Boston.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 20}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
"Michael March 15, 2021 John.","[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'DATE', 'start': 8, 'end': 22}, {'entity': 'PERSON', 'start': 23, 'end': 27}]"
Microsoft 2023.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'DATE', 'start': 10, 'end': 14}]"
Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
OpenAI Alice.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}]"
San Francisco San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 27}]"
Boston Google.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
Michael Microsoft Paris.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'ORG', 'start': 8, 'end': 17}, {'entity': 'LOC', 'start': 18, 'end': 23}]"
Amazon Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 16}]"
Tesla Emma.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 10}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
2024 2022 2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}, {'entity': 'DATE', 'start': 10, 'end': 14}]"
2022 Tesla 2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 10}, {'entity': 'DATE', 'start': 11, 'end': 15}]"
Alice.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
